Baked Products,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"KEEBLER, Vanilla Wafers Minis, Rainbow",30.0,18.0 cookies,4.1 g,-- mg,4.0 g,31.1 g,18.3 g,72.3 g,466.0 kcal
"KEEBLER, Vienna Fingers with Creme Filling",31.0,2.0 cookies,2.5 g,-- mg,4.5 g,33.6 g,20.1 g,73.2 g,492.0 kcal
"KEEBLER, Vienna Fingers with Creme Filling, Reduced Fat",31.0,2.0 cookies,2.8 g,-- mg,4.5 g,37.2 g,15.0 g,78.1 g,465.0 kcal
"KEEBLER, Waffle Bowls",12.0,1.0 waffle,2.0 g,-- mg,6.5 g,31.6 g,5.3 g,87.7 g,424.0 kcal
"KEEBLER, Waffle Cones",12.0,1.0 cone,2.0 g,-- mg,6.5 g,31.6 g,5.3 g,87.7 g,424.0 kcal
"KEEBLER, WHEATABLES, Honey Wheat Crackers",30.0,17.0 crackers,1.7 g,-- mg,7.6 g,15.0 g,20.4 g,67.0 g,482.0 kcal
"KEEBLER, WHEATABLES, Nut Crisp Crackers, Roasted Almond",30.0,16.0 crackers,1.7 g,-- mg,8.4 g,11.7 g,20.4 g,66.5 g,472.0 kcal
"KEEBLER, WHEATABLES, Nut Crisp Crackers, Toasted Pecan",30.0,16.0 crackers,1.7 g,-- mg,7.6 g,11.6 g,22.0 g,65.7 g,483.0 kcal
"KEEBLER, ZESTA, Export Sodas Crackers",14.0,3.0 crackers,3.0 g,-- mg,5.6 g,2.3 g,11.5 g,74.0 g,414.0 kcal
"KEEBLER, ZESTA, Saltines with Whole Wheat",15.0,5.0 crackers,2.8 g,-- mg,8.4 g,2.1 g,9.6 g,75.1 g,416.0 kcal
"KEEBLER, ZESTA, Saltines, Original",15.0,5.0 crackers,2.5 g,-- mg,8.2 g,1.6 g,9.0 g,76.1 g,418.0 kcal
"Keikitos (muffins), Latino bakery item",42.0,1.0 piece,12.99 g,63.0 mg,6.81 g,25.81 g,25.24 g,53.16 g,467.0 kcal
KELLOGG'S EGGO Lowfat Blueberry Nutri-Grain Waffles,35.0,"1.0 waffle, round (4"" dia) (include frozen)",46.06 g,61.0 mg,5.95 g,8.89 g,2.83 g,42.71 g,208.0 kcal
"KELLOGG'S, ALL-BRAN, Garlic and Herb Crackers",30.0,18.0 crackers,2.5 g,67.0 mg,8.6 g,10.0 g,19.9 g,63.5 g,467.0 kcal
"KELLOGG'S, ALL-BRAN, Multigrain Crackers",30.0,18.0 crackers,2.5 g,-- mg,8.6 g,12.9 g,20.0 g,65.7 g,415.0 kcal
"KELLOGG'S, BEANATURAL, Original 3-Bean Chips",28.0,12.0 chips,2.2 g,197.0 mg,22.9 g,5.3 g,25.3 g,46.5 g,487.0 kcal
"KELLOGG'S, CINNABON, Pancakes, Caramel",105.0,3.0 pancakes,41.9 g,57.0 mg,5.0 g,15.6 g,7.1 g,43.4 g,255.0 kcal
"KELLOGG'S, CINNABON, Pancakes, Original",105.0,3.0 pancakes,41.6 g,76.0 mg,5.0 g,14.9 g,7.7 g,43.1 g,258.0 kcal
"KELLOGG'S, Corn Flakes Crumbs",33.0,6.0 tbsp,3.0 g,-- mg,7.5 g,9.3 g,0.4 g,84.4 g,367.0 kcal
"KELLOGG'S, EGGO Minis, Pancakes, Buttermilk",110.0,11.0 pancakes,44.2 g,36.0 mg,5.5 g,10.3 g,8.2 g,39.6 g,251.0 kcal
"KELLOGG'S, EGGO Protein, Waffles, Homestyle",70.0,2.0 waffles,36.9 g,357.0 mg,10.8 g,2.7 g,10.2 g,37.0 g,281.0 kcal
"KELLOGG'S, EGGO Seasons, Waffles, Pumpkin Spice",70.0,2.0 waffles,37.5 g,143.0 mg,5.5 g,9.2 g,12.2 g,41.4 g,296.0 kcal
"KELLOGG'S, EGGO, Biscuit Scramblers, Bacon, Egg &amp; Cheese",105.0,1.0 bscuit,42.9 g,124.0 mg,8.8 g,4.7 g,7.9 g,38.3 g,258.0 kcal
"KELLOGG'S, EGGO, Biscuit Scramblers, Egg &amp; Cheese",105.0,1.0 bscuit,43.3 g,133.0 mg,8.8 g,4.7 g,7.6 g,38.3 g,254.0 kcal
"KELLOGG'S, EGGO, FIBERPLUS Waffles, Buttermilk",70.0,2.0 waffles,41.0 g,500.0 mg,4.7 g,-- g,7.9 g,41.8 g,227.0 kcal
"KELLOGG'S, EGGO, FIBERPLUS Waffles, Chocolate Chip",70.0,2.0 waffles,36.8 g,357.0 mg,4.3 g,10.9 g,10.5 g,44.4 g,259.0 kcal
"KELLOGG'S, EGGO, French Toaster Sticks, Cinnamon",90.0,2.0 pieces,42.44 g,111.0 mg,4.8 g,16.2 g,6.9 g,42.6 g,250.0 kcal
"KELLOGG'S, EGGO, French Toaster Sticks, Original",90.0,2.0 pieces,44.99 g,111.0 mg,5.3 g,10.9 g,7.0 g,39.4 g,239.0 kcal
"KELLOGG'S, EGGO, Mini Muffin Tops, Blueberry",46.0,1.0 set,35.29 g,217.0 mg,5.0 g,18.1 g,10.2 g,45.8 g,293.0 kcal
"KELLOGG'S, EGGO, Mini Muffin Tops, Chocolate Chip",46.0,1.0 set,34.7 g,217.0 mg,5.2 g,18.5 g,11.2 g,45.0 g,300.0 kcal
"KELLOGG'S, EGGO, NUTRI-GRAIN Frozen Fruit Pizza, Mixed Berry Granola",150.0,1.0 pizza,39.43 g,47.0 mg,6.4 g,11.5 g,8.4 g,41.4 g,259.0 kcal
"KELLOGG'S, EGGO, NUTRI-GRAIN Frozen Fruit Pizza, Strawberry Granola",150.0,1.0 pizza,40.8 g,46.0 mg,6.5 g,11.9 g,8.1 g,43.7 g,266.0 kcal
"KELLOGG'S, EGGO, NUTRI-GRAIN, Waffles, Blueberry",70.0,2.0 waffles,39.25 g,143.0 mg,6.2 g,10.0 g,7.8 g,43.6 g,257.0 kcal
"KELLOGG'S, EGGO, NUTRI-GRAIN, Waffles, Honey Oat",70.0,2.0 waffles,37.5 g,184.0 mg,6.6 g,10.5 g,8.6 g,44.1 g,268.0 kcal
"KELLOGG'S, EGGO, NUTRI-GRAIN, Waffles, Low Fat",70.0,2.0 waffles 1 serving,47.66 g,143.0 mg,6.5 g,3.9 g,3.5 g,39.0 g,201.0 kcal
"KELLOGG'S, EGGO, NUTRI-GRAIN, Waffles, Original",70.0,2.0 waffles,44.3 g,143.0 mg,6.6 g,3.6 g,8.3 g,37.6 g,239.0 kcal
"KELLOGG'S, EGGO, Pancakes, Blueberry",105.0,3.0 pancakes,44.94 g,76.0 mg,5.3 g,10.1 g,7.4 g,39.9 g,245.0 kcal
"KELLOGG'S, EGGO, Pancakes, Chocolate Chip",105.0,3.0 pancakes,43.84 g,76.0 mg,5.5 g,11.2 g,8.2 g,39.9 g,253.0 kcal
"KELLOGG'S, EGGO, Thick &amp; Fluffy, Waffles, Brown Sugar",55.0,1.0 waffle,33.6 g,455.0 mg,5.8 g,15.8 g,11.9 g,44.5 g,307.0 kcal
"KELLOGG'S, EGGO, Thick &amp; Fluffy, Waffles, Original",55.0,1.0 waffle,38.23 g,455.0 mg,6.5 g,4.7 g,13.6 g,37.4 g,295.0 kcal
"KELLOGG'S, EGGO, Wafflers, Brown Sugar Cinnamon Roll",76.0,2.0 waffles,27.1 g,293.0 mg,4.8 g,21.0 g,11.6 g,52.2 g,331.0 kcal
"KELLOGG'S, EGGO, Wafflers, Strawberry Strudel",76.0,2.0 waffles,29.2 g,293.0 mg,5.0 g,16.8 g,11.0 g,50.0 g,318.0 kcal
"KELLOGG'S, EGGO, Waffles, Blueberry",70.0,2.0 waffles,40.5 g,357.0 mg,5.5 g,9.1 g,8.7 g,41.7 g,265.0 kcal
"KELLOGG'S, EGGO, Waffles, Buttermilk",70.0,2.0 waffles,39.75 g,357.0 mg,6.6 g,2.9 g,10.9 g,39.0 g,278.0 kcal
"KELLOGG'S, EGGO, Waffles, Chocolate Chip",70.0,2.0 waffles,35.62 g,357.0 mg,5.8 g,13.1 g,10.1 g,44.8 g,291.0 kcal
"KELLOGG'S, EGGO, Waffles, Cinnamon Toast",92.0,3.0 sets,29.6 g,272.0 mg,5.5 g,18.2 g,11.9 g,49.5 g,325.0 kcal
"KELLOGG'S, EGGO, Waffles, French Toast",45.0,1.0 waffle,35.1 g,222.0 mg,5.8 g,11.5 g,12.2 g,43.4 g,305.0 kcal
"KELLOGG'S, EGGO, Waffles, Homestyle",70.0,2.0 waffles,39.43 g,232.0 mg,6.6 g,2.7 g,10.55 g,39.8 g,278.0 kcal
"KELLOGG'S, EGGO, Waffles, Homestyle, Low Fat",70.0,2.0 waffles 1 serving,41.8 g,378.0 mg,6.3 g,4.5 g,3.5 g,44.9 g,229.0 kcal
"KELLOGG'S, EGGO, Waffles, Strawberry",70.0,2.0 waffles,40.9 g,143.0 mg,5.5 g,9.3 g,8.7 g,41.6 g,265.0 kcal
"KELLOGG'S, POP-TARTS MINI CRISPS, Cinnamon Brown Sugar Baked Bites",23.0,1.0 pouch,2.5 g,-- mg,4.8 g,33.4 g,11.0 g,79.0 g,433.0 kcal
"KELLOGG'S, POP-TARTS MINI CRISPS, Frosted Chocolate Baked Bites",23.0,1.0 pouch,2.5 g,-- mg,5.0 g,35.8 g,11.6 g,78.9 g,438.0 kcal
"KELLOGG'S, POP-TARTS MINI CRISPS, Frosted Strawberry Baked Bites",10.0,1.0 pouch,2.5 g,-- mg,4.7 g,35.3 g,11.8 g,79.1 g,440.0 kcal
"KELLOGG'S, POP-TARTS, Chocolate Chip Cookie Dough Toaster Pastries",50.0,1.0 pastry,12.8 g,200.0 mg,4.5 g,35.5 g,10.5 g,69.4 g,387.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Apple Strudel Toaster Pastries",50.0,1.0 pastry,12.8 g,-- mg,4.4 g,28.0 g,10.8 g,70.5 g,395.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Blueberry Muffin Toaster Pastries",50.0,1.0 pastry,12.8 g,-- mg,4.0 g,27.6 g,10.9 g,70.9 g,397.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Cinnamon Roll Toaster Pastries",50.0,1.0 pastry,12.0 g,-- mg,4.7 g,26.2 g,14.1 g,67.8 g,416.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Confetti Cake Toaster Pastries",50.0,1.0 pastry,12.75 g,209.0 mg,4.4 g,29.3 g,7.4 g,73.0 g,375.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Cookies &amp; Creme Toaster Pastries",50.0,1.0 pastry,12.8 g,241.0 mg,4.9 g,38.3 g,9.8 g,69.3 g,379.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Orange Cream Toaster Pastries",50.0,1.0 pastry,12.75 g,-- mg,3.9 g,31.8 g,11.5 g,70.6 g,401.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Pumpkin Pie Toaster Pastries",50.0,1.0 pastry,12.75 g,-- mg,4.7 g,28.6 g,10.5 g,70.6 g,394.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Spring Berry Toaster Pastries",52.0,1.0 pastry,12.75 g,-- mg,4.0 g,31.3 g,9.6 g,72.3 g,390.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Sugar Cookie Toaster Pastries",50.0,1.0 pastry,12.8 g,200.0 mg,4.5 g,27.5 g,10.6 g,70.2 g,393.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Waffle Cone Toaster Pastries",50.0,1.0 pastry,12.75 g,200.0 mg,3.9 g,32.4 g,6.8 g,74.3 g,373.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Wild Fruit Fusion Toaster Pastries",50.0,1.0 pastry,12.75 g,-- mg,3.9 g,30.8 g,9.7 g,72.3 g,391.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Wild Grape Toaster Pastries",50.0,1.0 pastry,12.8 g,-- mg,4.1 g,30.5 g,9.8 g,71.8 g,390.0 kcal
"KELLOGG'S, POP-TARTS, Frosted Wild Strawberry Toaster Pastries",50.0,1.0 pastry,12.75 g,-- mg,3.9 g,30.6 g,9.7 g,72.1 g,391.0 kcal
"KELLOGG'S, POP-TARTS, Gingerbread Toaster Pastries",50.0,1.0 pastry,12.75 g,25.0 mg,4.1 g,28.6 g,10.5 g,70.8 g,393.0 kcal
"KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted Hot Fudge Sundae Toaster Pastries",48.0,1.0 pastry,13.6 g,200.0 mg,4.4 g,24.7 g,10.8 g,69.8 g,391.0 kcal
"KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted Ice Creme Sandwich Toaster Pastries",48.0,1.0 pastry,13.0 g,208.0 mg,4.6 g,23.5 g,10.9 g,69.4 g,390.0 kcal
"KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted Rainbow Chip Toaster Pastries",50.0,1.0 pastry,12.8 g,200.0 mg,4.0 g,30.3 g,11.2 g,70.8 g,400.0 kcal
"KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted Strawberry Milkshake Toaster Pastries",48.0,1.0 pastry,12.8 g,208.0 mg,4.0 g,23.9 g,11.3 g,70.0 g,397.0 kcal
"KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted Vanilla Milkshake Toaster Pastries",48.0,1.0 pastry,12.8 g,208.0 mg,4.0 g,23.9 g,11.3 g,70.1 g,398.0 kcal
"KELLOGG'S, POP-TARTS, Yum-azing Vanilla Milkshake Toaster Pastries",50.0,1.0 pastry,12.75 g,200.0 mg,4.1 g,23.4 g,11.3 g,70.2 g,398.0 kcal
"KELLOGG'S, SIMPLY EGGO, Original",70.0,2.0 waffles,36.6 g,-- mg,6.2 g,5.9 g,10.9 g,43.3 g,294.0 kcal
"KELLOGG'S, SPECIAL K, Cracker Chips, Cheddar",30.0,27.0 chips,2.8 g,81.0 mg,6.4 g,4.3 g,9.4 g,73.7 g,382.0 kcal
"KELLOGG'S, SPECIAL K, Cracker Chips, Sea Salt",30.0,30.0 chips,2.8 g,-- mg,6.8 g,0.6 g,7.6 g,75.4 g,361.0 kcal
"KELLOGG'S, SPECIAL K, Cracker Chips, Sour Cream &amp; Onion",30.0,27.0 chips,2.8 g,69.0 mg,7.1 g,3.5 g,8.0 g,74.3 g,365.0 kcal
"KELLOGG'S, SPECIAL K, Cracker Chips, Southwest Ranch",30.0,27.0 chips,2.8 g,74.0 mg,6.2 g,4.3 g,8.7 g,74.8 g,380.0 kcal
"KELLOGG'S, SPECIAL K, Multigrain Crackers",30.0,24.0 crackers,2.5 g,-- mg,9.0 g,20.8 g,9.4 g,75.4 g,401.0 kcal
"KELLOGG'S, SPECIAL K, Savory Herb Crackers",30.0,24.0 crackers,2.5 g,-- mg,10.9 g,10.6 g,10.0 g,73.8 g,406.0 kcal
"KELLOGG, KELLOG'S NUTRI-GRAIN CEREAL BARS, Mixed Berry",116.0,1.0 bar (NLEA serving),14.5 g,39.0 mg,4.3 g,33.6 g,7.6 g,72.8 g,370.0 kcal
"KELLOGG, KELLOGG'S EGGO, Buttermilk Pancake",116.0,3.0 pancakes (NLEA serving),45.6 g,78.0 mg,5.3 g,10.0 g,8.0 g,38.6 g,245.0 kcal
"KRAFT FOODS, SHAKE 'N' BAKE ORIGINAL RECIPE, Coating for Pork, dry",28.0,1.0 serving,3.2 g,-- mg,6.1 g,-- g,3.7 g,79.8 g,377.0 kcal
"KRAFT, STOVE TOP Stuffing Mix Chicken Flavor",28.0,1.0 NLEA serving (makes 1/2 cup prepared),5.3 g,63.0 mg,12.6 g,10.1 g,4.1 g,73.1 g,381.0 kcal
"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",4.6,1.0 tsp,5.0 g,5876.0 mg,0.0 g,-- g,-- g,27.7 g,53.0 kcal
"Leavening agents, baking powder, double-acting, straight phosphate",4.6,1.0 tsp,4.0 g,7364.0 mg,0.1 g,-- g,0.0 g,24.1 g,51.0 kcal
"Leavening agents, baking powder, low-sodium",5.0,1.0 tsp,6.2 g,4332.0 mg,0.1 g,0.0 g,0.4 g,46.9 g,97.0 kcal
"Leavening agents, baking soda",4.6,1.0 tsp,0.2 g,-- mg,0.0 g,-- g,-- g,-- g,-- kcal
"Leavening agents, cream of tartar",3.0,1.0 tsp,1.7 g,8.0 mg,0.0 g,-- g,-- g,61.5 g,258.0 kcal
"Leavening agents, yeast, baker's, active dry",4.0,1.0 tsp,5.08 g,30.0 mg,40.44 g,0.0 g,7.61 g,41.22 g,325.0 kcal
"Leavening agents, yeast, baker's, compressed",17.0,1.0 cake (0.6 oz),69.0 g,19.0 mg,8.4 g,0.0 g,1.9 g,18.1 g,105.0 kcal
"MARTHA WHITE FOODS, Martha White's Buttermilk Biscuit Mix, dry",41.0,1.0 serving,10.0 g,168.0 mg,7.81 g,4.46 g,13.23 g,59.41 g,388.0 kcal
"MARTHA WHITE FOODS, Martha White's Chewy Fudge Brownie Mix, dry",28.0,1.0 serving,4.0 g,17.0 mg,4.42 g,54.76 g,6.16 g,83.58 g,407.0 kcal
"MARY'S GONE CRACKERS, Original Crackers, Organic Gluten Free",7.4,3.0 crackers,4.29 g,223.0 mg,12.06 g,1.0 g,15.63 g,64.29 g,446.0 kcal
"MCKEE BAKING, LITTLE DEBBIE NUTTY BARS, Wafers with Peanut Butter, Chocolate Covered",57.0,1.0 serving,3.0 g,-- mg,8.0 g,34.0 g,32.8 g,55.2 g,548.0 kcal
"MISSION FOODS, MISSION Flour Tortillas, Soft Taco, 8 inch",51.0,1.0 serving,33.6 g,191.0 mg,8.7 g,-- g,6.0 g,49.6 g,287.0 kcal
"MOTHER'S, 4th of July Circus Animal Cookies",29.0,6.0 cookies,2.2 g,-- mg,3.8 g,44.2 g,25.4 g,68.3 g,487.0 kcal
"MOTHER'S, Chocolate Chip Cookies",30.0,4.0 cookies,3.1 g,-- mg,5.7 g,32.9 g,22.0 g,67.6 g,490.0 kcal
"MOTHER'S, Circus Animal Cookies",29.0,6.0 cookies,2.2 g,-- mg,3.8 g,43.5 g,25.3 g,68.3 g,515.0 kcal
"MOTHER'S, Coconut Cocadas Cookies",32.0,5.0 cookies,2.6 g,-- mg,5.7 g,27.8 g,25.1 g,65.1 g,500.0 kcal
"MOTHER'S, Double Fudge Creme Sandwich Cookies",38.0,2.0 cookies,2.0 g,-- mg,5.3 g,33.1 g,20.4 g,70.0 g,457.0 kcal
"MOTHER'S, English Tea Sandwich Cookies",38.0,2.0 cookies,2.4 g,-- mg,4.5 g,32.0 g,19.3 g,71.0 g,469.0 kcal
"MOTHER'S, Halloween Circus Animals Cookies",29.0,6.0 cookies,2.2 g,-- mg,3.8 g,43.9 g,25.3 g,68.1 g,514.0 kcal
"MOTHER'S, Holiday Circus Animal Cookies",29.0,6.0 cookies,2.2 g,-- mg,3.8 g,44.3 g,25.3 g,68.3 g,515.0 kcal
"MOTHER'S, Iced Lemonade Cookies",29.0,4.0 cookies,3.4 g,-- mg,4.5 g,29.9 g,24.4 g,66.3 g,502.0 kcal
"MOTHER'S, Iced Oatmeal Cookies",32.0,4.0 cookies,3.5 g,-- mg,5.4 g,36.3 g,18.0 g,71.0 g,463.0 kcal
"MOTHER'S, Jungle Animal Cookies",29.0,6.0 cookies,2.0 g,-- mg,3.8 g,44.2 g,25.3 g,68.3 g,514.0 kcal
"MOTHER'S, Macaroon Cookies",31.0,2.0 cookies,3.2 g,-- mg,6.1 g,25.4 g,34.1 g,55.7 g,552.0 kcal
"MOTHER'S, Old Fashioned Chocolate Chip Cookies",32.0,2.0 cookies,3.3 g,-- mg,5.4 g,34.0 g,24.1 g,66.0 g,500.0 kcal
"MOTHER'S, Old Fashioned Iced Oatmeal Cookies",31.0,2.0 cookies,2.5 g,-- mg,6.0 g,35.8 g,16.9 g,72.8 g,461.0 kcal
"MOTHER'S, Old Fashioned Oatmeal Cookies",27.0,2.0 cookies,2.0 g,-- mg,6.5 g,31.3 g,18.4 g,71.2 g,470.0 kcal
"MOTHER'S, Peanut Butter Gauchos Cookies",38.0,2.0 cookies,3.0 g,-- mg,7.4 g,32.3 g,22.0 g,65.7 g,482.0 kcal
"MOTHER'S, Taffy Sandwich Cookies",38.0,2.0 cookies,2.5 g,-- mg,3.8 g,41.2 g,20.2 g,69.9 g,475.0 kcal
"MOTHER'S, Vanilla Sandwich Cookies",38.0,2.0 cookies,2.4 g,-- mg,4.8 g,30.1 g,20.1 g,68.9 g,469.0 kcal
"Muffin, blueberry, commercially prepared, low-fat",71.0,1.0 muffin small,39.94 g,35.0 mg,4.23 g,27.05 g,4.22 g,50.05 g,255.0 kcal
"Muffins, blueberry, commercially prepared (Includes mini-muffins)",28.35,1.0 oz,24.96 g,44.0 mg,4.49 g,31.47 g,16.07 g,53.0 g,375.0 kcal
"Muffins, blueberry, dry mix",43.0,1.0 serving,30.18 g,18.0 mg,3.48 g,32.73 g,3.25 g,61.0 g,293.0 kcal
"Muffins, blueberry, prepared from recipe, made with low fat (2%) milk",28.35,1.0 oz,39.5 g,189.0 mg,6.5 g,-- g,10.8 g,40.7 g,285.0 kcal
"Muffins, blueberry, toaster-type",28.35,1.0 oz,30.8 g,13.0 mg,4.6 g,4.85 g,9.5 g,53.3 g,313.0 kcal
"Muffins, blueberry, toaster-type, toasted",28.35,1.0 oz,26.4 g,14.0 mg,4.9 g,12.95 g,10.1 g,56.7 g,333.0 kcal
"Muffins, corn, commercially prepared",28.35,1.0 oz,32.6 g,74.0 mg,5.9 g,17.78 g,8.4 g,51.0 g,305.0 kcal
"Muffins, corn, dry mix, prepared",28.35,1.0 oz,30.5 g,75.0 mg,7.4 g,-- g,10.2 g,49.1 g,321.0 kcal
"Muffins, corn, prepared from recipe, made with low fat (2%) milk",28.35,1.0 oz,33.0 g,259.0 mg,7.1 g,-- g,12.3 g,44.2 g,316.0 kcal
"Muffins, corn, toaster-type",28.35,1.0 oz,23.6 g,19.0 mg,5.3 g,-- g,11.3 g,57.9 g,346.0 kcal
"Muffins, oat bran",28.35,1.0 oz,35.0 g,63.0 mg,7.0 g,8.22 g,7.4 g,48.3 g,270.0 kcal
"Muffins, plain, prepared from recipe, made with low fat (2%) milk",28.35,1.0 oz,37.7 g,200.0 mg,6.9 g,-- g,11.4 g,41.4 g,296.0 kcal
"Muffins, wheat bran, dry mix",28.35,1.0 oz,4.8 g,36.0 mg,7.1 g,-- g,12.0 g,73.0 g,396.0 kcal
"Muffins, wheat bran, toaster-type with raisins, toasted",28.35,1.0 oz,27.0 g,39.0 mg,5.5 g,23.07 g,9.4 g,55.5 g,313.0 kcal
"MURRAY, Chocolate Creme Sandwich Cookies",29.0,3.0 cookies,2.5 g,-- mg,4.9 g,38.4 g,19.4 g,71.3 g,473.0 kcal
"MURRAY, Chocolatey Chip Thins Cookies",30.0,8.0 cookies,2.5 g,-- mg,7.1 g,23.2 g,16.4 g,73.6 g,466.0 kcal
"MURRAY, COOKIE JAR CLASSICS, Butter Cookies",30.0,8.0 cookies,2.5 g,-- mg,7.2 g,22.3 g,15.7 g,74.3 g,463.0 kcal
"MURRAY, COOKIE JAR CLASSICS, Coconut Bars Cookies",32.0,6.0 cookies,2.5 g,-- mg,7.1 g,22.6 g,15.7 g,73.9 g,461.0 kcal
"MURRAY, Duplex Creme Sandwich Cookies",29.0,3.0 cookies,2.5 g,-- mg,4.9 g,37.6 g,18.8 g,72.6 g,475.0 kcal
"MURRAY, Honey Graham",31.0,8.0 crackers,3.5 g,379.0 mg,5.9 g,22.0 g,13.2 g,75.7 g,445.0 kcal
"MURRAY, JACKS Vanilla Wafers",32.0,9.0 cookies,4.5 g,-- mg,4.8 g,37.6 g,11.9 g,78.1 g,438.0 kcal
"MURRAY, Lemon Creme Sandwich Cookies",29.0,3.0 cookies,2.5 g,-- mg,4.7 g,37.8 g,18.8 g,73.7 g,479.0 kcal
"MURRAY, Old Fashioned Gingersnaps Cookies",30.0,5.0 cookies,3.0 g,-- mg,5.1 g,31.4 g,16.4 g,73.9 g,463.0 kcal
"MURRAY, Old Fashioned Iced Oatmeal Cookies",33.0,5.0 cookies,4.5 g,-- mg,5.0 g,32.5 g,17.5 g,71.0 g,459.0 kcal
"MURRAY, SOUTHERN KITCHEN, Chocolate Chip Cookies",28.0,2.0 cookies,3.0 g,-- mg,5.5 g,30.5 g,23.7 g,66.5 g,493.0 kcal
"MURRAY, SOUTHERN KITCHEN, Coconut Cookies",29.0,2.0 cookies,3.0 g,-- mg,5.7 g,30.4 g,25.5 g,65.5 g,511.0 kcal
"MURRAY, SOUTHERN KITCHEN, Iced Oatmeal Cookies",29.0,2.0 cookies,4.5 g,-- mg,6.5 g,35.6 g,18.3 g,69.5 g,467.0 kcal
"MURRAY, SOUTHERN KITCHEN, Oatmeal Cookies",29.0,2.0 cookies,4.0 g,-- mg,7.1 g,30.9 g,20.1 g,67.7 g,478.0 kcal
"MURRAY, SUGAR FREE, Chocolate Chip &amp; Pecan Cookies",32.0,3.0 cookies,3.2 g,-- mg,6.0 g,1.5 g,31.4 g,58.6 g,497.0 kcal
"MURRAY, SUGAR FREE, Chocolate Chip Cookies",32.0,3.0 cookies,3.0 g,-- mg,5.6 g,1.2 g,27.0 g,63.6 g,469.0 kcal
"MURRAY, SUGAR FREE, Chocolate Creme Sandwich Cookies",28.0,3.0 cookies,2.5 g,-- mg,5.3 g,1.1 g,24.8 g,65.9 g,465.0 kcal
"MURRAY, SUGAR FREE, Fudge Dipped Grahams",30.0,4.0 cookies,1.5 g,-- mg,5.7 g,0.4 g,27.5 g,63.3 g,483.0 kcal
"MURRAY, SUGAR FREE, Fudge Dipped Mint Cookies",26.0,4.0 cookies,1.5 g,-- mg,6.0 g,0.6 g,27.0 g,63.5 g,481.0 kcal
"MURRAY, SUGAR FREE, Fudge Dipped Wafers",31.0,4.0 cookies,1.5 g,-- mg,3.4 g,0.4 g,33.5 g,61.2 g,486.0 kcal
"MURRAY, SUGAR FREE, Lemon Creme Sandwich Cookies",28.0,3.0 cookies,3.0 g,-- mg,4.9 g,1.2 g,23.9 g,68.3 g,469.0 kcal
"MURRAY, SUGAR FREE, Oatmeal Cookies",32.0,3.0 cookies,3.0 g,-- mg,6.7 g,1.2 g,22.7 g,66.6 g,451.0 kcal
"MURRAY, SUGAR FREE, Peanut Butter Cookies",29.0,3.0 cookies,2.5 g,-- mg,9.5 g,1.7 g,30.8 g,55.8 g,505.0 kcal
"MURRAY, SUGAR FREE, Pecan Shortbread Cookies",32.0,3.0 cookies,3.0 g,-- mg,5.9 g,1.1 g,33.5 g,57.3 g,514.0 kcal
"MURRAY, SUGAR FREE, Shortbread Bites",21.0,1.0 pouch,2.3 g,-- mg,6.5 g,1.2 g,15.5 g,75.3 g,371.0 kcal
"MURRAY, SUGAR FREE, Shortbread Cookies",30.0,8.0 cookies,3.0 g,-- mg,7.0 g,1.3 g,17.8 g,71.6 g,431.0 kcal
"MURRAY, SUGAR FREE, Vanilla Creme Sandwich Cookies",28.0,3.0 cookies,2.0 g,-- mg,4.9 g,1.2 g,23.1 g,70.0 g,467.0 kcal
"MURRAY, SUGAR FREE, Vanilla Sugar Wafer",28.0,4.0 cookies,0.7 g,-- mg,3.2 g,0.8 g,27.6 g,68.5 g,458.0 kcal
"MURRAY, SUGAR FREE, Vanilla Wafer",32.0,9.0 cookies,3.0 g,-- mg,5.9 g,1.4 g,16.8 g,74.0 g,412.0 kcal
"MURRAY, Vanilla Creme Sandwich Cookies",29.0,3.0 cookies,2.5 g,-- mg,4.9 g,36.9 g,18.3 g,73.9 g,477.0 kcal
"MURRAY, Vanilla Sugar Wafer",28.0,5.0 cookies,0.4 g,-- mg,3.9 g,41.0 g,25.7 g,70.0 g,527.0 kcal
"MURRAY, Vanilla Wafer",30.0,8.0 cookies,4.1 g,-- mg,4.0 g,31.5 g,17.4 g,72.9 g,461.0 kcal
